Grocery,Bought water.
Food & Drink,Had chicken rooti.
Education,Took admission in swimming.
Transport,Paid for parking.
Shopping,Bought swimming gear.
Grocery,Bought milk.
Food & Drink,Bought paani poori.
Food & Drink,Had sandwich & tea.
Transport,Fuelled bike.
Food & Drink,Bought pizza.
Grocery,Bought oil and salt.
Grocery,Bought chicken.
Grocery,Bought milk pack.
Food & Drink,Bought snacks.
Food & Drink,Bought sandwich.
Shopping,Bought bags.
Food & Drink,Had chowmean.
Food & Drink,Bought coffee.
Recurring,Bought term insurance.
Recurring,Paid bike emi.
Food & Drink,Had drink.
Food & Drink,Had paratha.
Shopping,Bought temperature sensor.
Food & Drink,Had chawmean.
Food & Drink,Had toast.
Food & Drink,Had egg roll.
Gift & Donation,Bought baskets.
Gift & Donation,Bought ribbons.
Gift & Donation,Paid for cake.
Grocery,Bought milk.
Food & Drink,Had tea.
Grocery,Bought fruits.
Grocery,Bought biscuits.
Food & Drink,Bought biscuits.
Transport,Paid for delivery.
Food & Drink,Had tea.
Shopping,Bought flip flops.
Food & Drink,Bought mutton.
Food & Drink,Had paratha.
Shopping,Bought LM7805
Food & Drink,Bought biscuit.
Shopping,Installed touring seat.
Food & Drink,Had egg & matar.
Entertainment,Paid for OBH membership.
Grocery,Bought potatoes, onions & chillies.
Grocery,Bought dried fish.
Grocery,Bought chicken.
Grocery,Bought egg & bread.
Food & Drink,Bought cold drink.
Food & Drink,Had paratha.
Food & Drink,Had paratha.
Transport,Fuelled bike.
Transport,Paid for parking.
Food & Drink,Had momos.
Food & Drink,Had coke.
Food & Drink,Had paratha.
Food & Drink,Had chola egg.
Entertainment,Bought ticket for john wick.
Food & Drink,Had tea.
Food & Drink,Had egg roll.
Recurring,Paid electricity bill.
Food & Drink,Had tea.
Recurring,Paid rent.
Food & Drink,Bought cake, noodles & egg.
Grocery,Bought bananas.
Food & Drink,Had egg roll.
Food & Drink,Had tea.
Gift & Donation,Send to gogo.
Food & Drink,Had chicken wrap.
Food & Drink,Paid for burger.
Food & Drink,Had coffee.
Grocery,Bought noodles, eggs & milk.
Grocery,Bought bananas.
Shopping,Bought light sensor.
Food & Drink,Had paratha.
Food & Drink,Had noodles.
Food & Drink,Had tea.
Food & Drink,Bought cocoa drink.
Food & Drink,Had chicken fried rice.
Food & Drink,Had tea & toast.
Education,Paid for motor training.
Services,Had hair cut.
Food & Drink,Had paratha.
Food & Drink,Had noodles.
Food & Drink,Bought coffee.
Food & Drink,Had chat.
Education,Paid for four wheeler learning.
Food & Drink,Had noodles.
Grocery,Bought groceries.
Food & Drink,Had paratha & tea.
Recurring,Paid bike EMI.
Food & Drink,Bought cola.
Food & Drink,Had tea.
Food & Drink,Had momos.
Services,Paid for service.
Grocery,Bought eggs.
Food & Drink,Had tea.
Food & Drink,Bought egg curry.
Food & Drink,Had tea.
Food & Drink,Bought coffee.
Shopping,Bought capacitor.
Shopping,Bought lotion.
Grocery, Bought bananas.
Food & Drink,Bought chicken.
Food & Drink,Had tea.
Shopping,Bought capacitor.
Food & Drink,Had tea.
Shopping,Bought clock module.
Transport,Fulled bike.
Food & Drink,Had tea.
Shopping,Bought ESP32.
Shopping,Bought led strips.
Food & Drink,Had tea.
Food & Drink,Had paratha.
Shopping,Bought riding base layer.
Food & Drink,Had chicken wrap.
Food & Drink,Had tea.
Shopping,Bought cover.
Grocery,Bought paneer & tomatoes.
Grocery,Bought bananas.
Medical,Paid for urine test.
Food & Drink,Had tea.
Medical,Bought ORS.
Medical,Bought syrup.
Medical,Paid for doctor visit.
Food & Drink,Had paratha.
Grocery,Bought noodles.
Food & Drink,Had paratha.
Recurring,Paid low balance fee.
Transport,Fulled car.
Transport,Paid for parking.
Shopping,Installed touring mirror.
Food & Drink,Had coconut water.
Food & Drink,Had coffee.
Food & Drink,Bought eggs & cake.
Entertainment,Bought movie ticket.
Shopping,Bought bag.
Transport,Paid for parking.
Food & Drink,Bought rooti.
Food & Drink,Had momos.
Food & Drink,Had tea.
Food & Drink,Bought coffee.
Food & Drink,Bought chilli chicken.
Entertainment,Bought movie ticket.
Food & Drink,Had momo.
Food & Drink,Bought complan.
Food & Drink,Had paratha.
Entertainment,Bought film ticket.
Food & Drink,Bought cake.
Food & Drink,Had drink.
Grocery,Bought potatoes & eggs.
Grocery,Bought water.
Food & Drink,Had biriyani.
Shopping,Bought fog lamps.
Services,Paid for bike service.
Food & Drink,Had momo.
Food & Drink,Bought sweets.
Grocery,Bought milk.
Food & Drink,Had tea.
Food & Drink,Had tea.
Food & Drink,Had drink.
Food & Drink,Had rooti.
Food & Drink,Had idly and lassi.
Grocery,Bought milk.
Food & Drink,Had paratha.
Grocery,Bought milk.
Grocery,Bought bananas.
Food & Drink,Had rooti tarka.
Services,Paid for bike servicing.
Recurring,Paid rent.
Food & Drink,Had paratha.
Food & Drink,Had chicken and polao.
Recurring,Paid bike emi.
Food & Drink,Had coke.
Food & Drink,Had chicken wraps.
Food & Drink,Had tea.
Food & Drink,Had paratha.
Grocery,Bought vegetables.
Grocery,Bought chicken.
Food & Drink,Had tea.
Shopping,Bought tank pad & seat.
Food & Drink,Had paratha.
Food & Drink,Had tea.
Shopping,Bought chain brush & helmet mask.
Services,Cleaned bike.
Food & Drink,Had fried rice.
Transport,Fuelled bike.
Grocery,Bought bread.
Food & Drink,Bought chocolate.
Food & Drink,Had tea.
Food & Drink,Had lunch.
Grocery,Bought milk.
Shopping,Bought saddle stay.
Grocery,Bought curd.
Food & Drink,Bought cola.
Business,Bought ESP32.
Food & Drink,Had chicken wrap.
Food & Drink,Had ice cream.
Business,Bought 4x4 box.
Food & Drink,Had food.
Food & Drink,Had tea.
Grocery,Bought paneer and chocolate.
Food & Drink,Had dinner.
Food & Drink,Had tea.
Food & Drink,Had tea.
Food & Drink,Had chole kulcha.
Recurring,Paid for Apple One.
Business,Bought parts.
Food & Drink,Had naan.
Services,Paid for documents correction.
Food & Drink,Bought coke.
Services,Recharged sim.
Grocery,Bought eggs.
Gift & Donation,Bought flowers.
Services,Had hair cut.
Food & Drink,Had poori & tea.
Food & Drink,Had tea.
Grocery,Bought bananas.
Grocery,Bought vegetables.
Grocery,Bought fish.
Food & Drink,Had paratha.
Food & Drink,Bought cold drink.
Food & Drink,Bought biriyani and roll.
Food & Drink,Had tea.
Transport,Fulled bike.
Grocery,Bought paneer.
Recurring,Paid IGST.
Business,Bought parts.
Grocery,Bought eggs.
Transport,Paid for parking.
Grocery,Bought paneer.
Grocery,Bought bananas.
Food & Drink,Had tea.
Food & Drink,Had tea.
Food & Drink,Had kebab & drink.
Food & Drink,Had paratha & tea.
Food & Drink,Had tea.
Food & Drink,Bought chicken kebab.
Grocery,Bought banana.
Grocery,Bought groceries.
Food & Drink,Had tea.
Food & Drink,Had chicken roll.
Food & Drink,Had sandwich & tea.
Business,Bought sd card & adapter.
Grocery,Bought paneer.
Recurring,Paid electric bill.
Recurring,Paid rent.
Food & Drink,Had chips.
Shopping,Bought black tape.
Shopping,Bought cable.
Shopping,Bought relay.
Transport,Came home.
Services,Paid for disability certificate.
Food & Drink,Had sugarcane juice.
Recurring,Paid bike EMI.
Transport,Fulled bike.
Grocery,Bought groceries.
